Cu source	Ligand	Ligand equiv.	Base	Base equiv.	Solvent	Molarity	T [°C]	BnNH2 equiv.	Yield of 3aa	Conversion of 1a	Round	Acquisition type
CuBr	L9	0.1	K2CO3	2	iBuOH	0.5	80	1.5	21.94	56.58	6	UCB
CuBr	L12	0.05	NaOtBu	2	PhMe	0.5	80	1.5	18.17	63.16	6	UCB
CuCl	L8	0.05	NaOtBu	1	DMSO	1	80	1.5	10.49	94.19	6	UCB
Cu2O	L6	0.1	TBAO	2	DMSO	1	60	1.5	25.92	56.53	6	UCB
CuCl	L11	0.05	TBAO	1	ACN	0.5	80	1.5	9.79	41.04	6	UCB
Cu(OAc)2	L6	0.1	K3PO4	1	ACN	0.5	80	1.1	5.45	46.02	6	UCB
CuCl	L9	0.05	TBAO	0.5	iBuOH	0.5	60	1.1	11.74	32.22	6	UCB
Cu2O	L12	0.1	K2CO3	2	DMSO	0.5	80	1.5	70.23	100.00	7	UCB
Cu2O	L3	0.1	K2CO3	2	DMSO	1	80	1.1	24.10	43.03	7	UCB
CuI	L11	0.05	K2CO3	2	iBuOH	1	60	1.5	51.88	82.80	7	UCB
CuCl	L1	0.05	Et3N	2	PhMe	0.5	80	1.1	1.86	31.57	7	UCB
CuI	L7	0.1	K2CO3	0.5	ACN	1	60	1.1	10.83	30.43	7	UCB
Cu(OAc)2	L11	0.05	Cs2CO3	0.5	EtOH	0.5	80	1.5	52.42	74.29	7	UCB
Cu2O	L7	0.05	NaOtBu	1	EtOH	1	80	1.1	38.37	100.00	7	UCB
CuI	L8	0.1	K2CO3	2	DMSO	0.5	80	1.1	47.07	65.46	7	UCB
Cu2O	L12	0.1	KOH	2	DMSO	0.5	80	1.1	9.57	100.00	8	UCB
Cu2O	L11	0.1	K2CO3	1	DMSO	1	80	1.5	71.22	100.00	8	UCB
CuI	L11	0.05	KOH	0.5	DMSO	1	60	1.5	38.58	54.59	8	UCB
Cu(OAc)2	L10	0.05	K3PO4	0.5	ACN	1	80	1.1	49.85	71.92	8	UCB
CuI	L8	0.1	K2CO3	2	PhMe	0.5	80	1.5	26.13	42.86	8	UCB
Cu2O	L7	0.1	K2CO3	0.5	DMSO	1	60	1.5	59.25	88.01	8	UCB
CuI	L5	0.1	NaOtBu	2	iBuOH	0.5	80	1.5	0.77	100.00	8	UCB
CuBr	L11	0.05	NaOAc	1	PhMe	0.5	80	1.5	10.72	37.66	8	UCB
Cu2O	L10	0.1	K2CO3	2	DMSO	0.5	80	1.5	63.53	93.96	9	UCB
Cu2O	L7	0.1	K2CO3	1	DMSO	1	80	1.1	45.67	97.86	9	UCB
CuI	L1	0.1	K2CO3	2	DMSO	0.5	60	1.5	42.19	62.02	9	UCB
CuBr	L11	0.1	K2CO3	1	EtOH	1	80	1.1	61.66	87.63	9	UCB
CuI	L1	0.1	KOH	0.5	DMSO	0.5	60	1.5	8.41	45.29	9	UCB
CuCl	L1	0.1	KOH	2	EtOH	0.5	60	1.5	0.00	100.00	9	UCB
Cu(OAc)2	L11	0.1	K2CO3	0.5	ACN	1	80	1.1	43.53	54.23	9	UCB
CuBr	L12	0.1	NaOAc	0.5	EtOH	1	60	1.1	10.83	16.64	9	UCB
CuI	L12	0.05	K2CO3	2	DMSO	1	80	1.5	74.90	83.78	10	UCB
CuBr	L12	0.05	K2CO3	2	DMSO	0.5	80	1.5	67.80	76.69	10	UCB
CuBr	L2	0.05	K3PO4	2	DMSO	0.5	60	1.5	8.12	30.93	10	UCB
CuI	L2	0.1	Cs2CO3	0.5	2Me-THF	1	80	1.1	3.73	21.67	10	UCB
CuCl	L10	0.05	K2CO3	1	2Me-THF	0.5	80	1.5	1.18	01.07	10	UCB
CuBr	L2	0.05	KOH	2	iBuOH	1	60	1.5	0.00	100.00	10	UCB
CuCl	L5	0.05	Et3N	1	PhMe	0.5	80	1.1	0.45	17.05	10	UCB
CuCl	L2	0.1	Cs2CO3	1	iBuOH	1	60	1.5	4.74	55.10	10	UCB
